# Generated with codectest (time: 467min)

Tools detected:
+ mencoder dev-SVN-r26753-4.1.2
+ mkvmerge v2.2.0
+ mp4creator 1.5.0.1
+ mplayer dev-SVN-r26753-4.1.2
+ ogmmerge v1.5
+ undvd 0.6.1

+-------------+-------------+-------------+-------------+
| container   | vcodec      | acodec      | status      |
| asf         | msmpeg4     | vorbis      | ok          |
| asf         | msmpeg4     | wmav1       | ok          |
| asf         | msmpeg4     | wmav2       | ok          |
| asf         | msmpeg4v2   | aac         | ok          |
| asf         | msmpeg4v2   | ac3         | ok          |
| asf         | msmpeg4v2   | flac        | ok          |
| asf         | msmpeg4v2   | g726        | enc_failed  |
| asf         | msmpeg4v2   | libamr_nb   | enc_failed  |
| asf         | msmpeg4v2   | libamr_wb   | enc_failed  |
| asf         | msmpeg4v2   | mp2         | ok          |
| asf         | msmpeg4v2   | mp3         | ok          |
| asf         | msmpeg4v2   | roq_dpcm    | enc_failed  |
| asf         | msmpeg4v2   | sonic       | ok          |
| asf         | msmpeg4v2   | sonicls     | ok          |
| asf         | msmpeg4v2   | vorbis      | ok          |
| asf         | msmpeg4v2   | wmav1       | ok          |
| asf         | msmpeg4v2   | wmav2       | ok          |
| asf         | roqvideo    | aac         | enc_failed  |
| asf         | roqvideo    | ac3         | enc_failed  |
| asf         | roqvideo    | flac        | enc_failed  |
| asf         | roqvideo    | g726        | enc_failed  |
| asf         | roqvideo    | libamr_nb   | enc_failed  |
| asf         | roqvideo    | libamr_wb   | enc_failed  |
| asf         | roqvideo    | mp2         | enc_failed  |
| asf         | roqvideo    | mp3         | enc_failed  |
| asf         | roqvideo    | roq_dpcm    | enc_failed  |
| asf         | roqvideo    | sonic       | enc_failed  |
| asf         | roqvideo    | sonicls     | enc_failed  |
| asf         | roqvideo    | vorbis      | enc_failed  |
| asf         | roqvideo    | wmav1       | enc_failed  |
| asf         | roqvideo    | wmav2       | enc_failed  |
| asf         | rv10        | aac         | ok          |
| asf         | rv10        | ac3         | ok          |
| asf         | rv10        | flac        | ok          |
| asf         | rv10        | g726        | enc_failed  |
| asf         | rv10        | libamr_nb   | enc_failed  |
| asf         | rv10        | libamr_wb   | enc_failed  |
| asf         | rv10        | mp2         | ok          |
| asf         | rv10        | mp3         | ok          |
| asf         | rv10        | roq_dpcm    | enc_failed  |
| asf         | rv10        | sonic       | ok          |
| asf         | rv10        | sonicls     | ok          |
| asf         | rv10        | vorbis      | ok          |
| asf         | rv10        | wmav1       | ok          |
| asf         | rv10        | wmav2       | ok          |
| asf         | snow        | aac         | enc_failed  |
| asf         | snow        | ac3         | enc_failed  |
| asf         | snow        | flac        | enc_failed  |
| asf         | snow        | g726        | enc_failed  |
| asf         | snow        | libamr_nb   | enc_failed  |
| asf         | snow        | libamr_wb   | enc_failed  |
| asf         | snow        | mp2         | enc_failed  |
| asf         | snow        | mp3         | enc_failed  |
| asf         | snow        | roq_dpcm    | enc_failed  |
| asf         | snow        | sonic       | enc_failed  |
| asf         | snow        | sonicls     | enc_failed  |
| asf         | snow        | vorbis      | enc_failed  |
| asf         | snow        | wmav1       | enc_failed  |
| asf         | snow        | wmav2       | enc_failed  |
| asf         | svq1        | aac         | ok          |
| asf         | svq1        | ac3         | ok          |
| asf         | svq1        | flac        | ok          |
| asf         | svq1        | g726        | enc_failed  |
| asf         | svq1        | libamr_nb   | enc_failed  |
| asf         | svq1        | libamr_wb   | enc_failed  |
| asf         | svq1        | mp2         | ok          |
| asf         | svq1        | mp3         | ok          |
| asf         | svq1        | roq_dpcm    | enc_failed  |
| asf         | svq1        | sonic       | ok          |
| asf         | svq1        | sonicls     | ok          |
| asf         | svq1        | vorbis      | ok          |
| asf         | svq1        | wmav1       | ok          |
| asf         | svq1        | wmav2       | ok          |
| asf         | wmv1        | aac         | ok          |
| asf         | wmv1        | ac3         | ok          |
| asf         | wmv1        | flac        | ok          |
| asf         | wmv1        | g726        | enc_failed  |
| asf         | wmv1        | libamr_nb   | enc_failed  |
| asf         | wmv1        | libamr_wb   | enc_failed  |
| asf         | wmv1        | mp2         | ok          |
| asf         | wmv1        | mp3         | ok          |
| asf         | wmv1        | roq_dpcm    | enc_failed  |
| asf         | wmv1        | sonic       | ok          |
| asf         | wmv1        | sonicls     | ok          |
| asf         | wmv1        | vorbis      | ok          |
| asf         | wmv1        | wmav1       | ok          |
| asf         | wmv1        | wmav2       | ok          |
| asf         | wmv2        | aac         | ok          |
| asf         | wmv2        | ac3         | ok          |
| asf         | wmv2        | flac        | ok          |
| asf         | wmv2        | g726        | enc_failed  |
| asf         | wmv2        | libamr_nb   | enc_failed  |
| asf         | wmv2        | libamr_wb   | enc_failed  |
| asf         | wmv2        | mp2         | ok          |
| asf         | wmv2        | mp3         | ok          |
| asf         | wmv2        | roq_dpcm    | enc_failed  |
| asf         | wmv2        | sonic       | ok          |
| asf         | wmv2        | sonicls     | ok          |
| asf         | wmv2        | vorbis      | ok          |
| asf         | wmv2        | wmav1       | ok          |
| asf         | wmv2        | wmav2       | ok          |
| asf         | xvid        | aac         | ok          |
| asf         | xvid        | ac3         | ok          |
| asf         | xvid        | flac        | ok          |
| asf         | xvid        | g726        | enc_failed  |
| asf         | xvid        | libamr_nb   | enc_failed  |
| asf         | xvid        | libamr_wb   | enc_failed  |
| asf         | xvid        | mp2         | ok          |
| asf         | xvid        | mp3         | ok          |
| asf         | xvid        | roq_dpcm    | enc_failed  |
| asf         | xvid        | sonic       | ok          |
| asf         | xvid        | sonicls     | ok          |
| asf         | xvid        | vorbis      | ok          |
| asf         | xvid        | wmav1       | ok          |
| asf         | xvid        | wmav2       | ok          |
| au          | asv1        | aac         | enc_failed  |
| au          | asv1        | ac3         | enc_failed  |
| au          | asv1        | flac        | enc_failed  |
| au          | asv1        | g726        | enc_failed  |
| au          | asv1        | libamr_nb   | enc_failed  |
| au          | asv1        | libamr_wb   | enc_failed  |
| au          | asv1        | mp2         | enc_failed  |
| au          | asv1        | mp3         | enc_failed  |
| au          | asv1        | roq_dpcm    | enc_failed  |
| au          | asv1        | sonic       | enc_failed  |
| au          | asv1        | sonicls     | enc_failed  |
| au          | asv1        | vorbis      | enc_failed  |
| au          | asv1        | wmav1       | enc_failed  |
| au          | asv1        | wmav2       | enc_failed  |
| au          | asv2        | aac         | enc_failed  |
| au          | asv2        | ac3         | enc_failed  |
| au          | asv2        | flac        | enc_failed  |
| au          | asv2        | g726        | enc_failed  |
| au          | asv2        | libamr_nb   | enc_failed  |
| au          | asv2        | libamr_wb   | enc_failed  |
| au          | asv2        | mp2         | enc_failed  |
| au          | asv2        | mp3         | enc_failed  |
| au          | asv2        | roq_dpcm    | enc_failed  |
| au          | asv2        | sonic       | enc_failed  |
| au          | asv2        | sonicls     | enc_failed  |
| au          | asv2        | vorbis      | enc_failed  |
| au          | asv2        | wmav1       | enc_failed  |
| au          | asv2        | wmav2       | enc_failed  |
| au          | dvvideo     | aac         | enc_failed  |
| au          | dvvideo     | ac3         | enc_failed  |
| au          | dvvideo     | flac        | enc_failed  |
| au          | dvvideo     | g726        | enc_failed  |
| au          | dvvideo     | libamr_nb   | enc_failed  |
| au          | dvvideo     | libamr_wb   | enc_failed  |
| au          | dvvideo     | mp2         | enc_failed  |
| au          | dvvideo     | mp3         | enc_failed  |
| au          | dvvideo     | roq_dpcm    | enc_failed  |
| au          | dvvideo     | sonic       | enc_failed  |
| au          | dvvideo     | sonicls     | enc_failed  |
| au          | dvvideo     | vorbis      | enc_failed  |
| au          | dvvideo     | wmav1       | enc_failed  |
| au          | dvvideo     | wmav2       | enc_failed  |
| au          | ffv1        | aac         | enc_failed  |
| au          | ffv1        | ac3         | enc_failed  |
| au          | ffv1        | flac        | enc_failed  |
| au          | ffv1        | g726        | enc_failed  |
| au          | ffv1        | libamr_nb   | enc_failed  |
| au          | ffv1        | libamr_wb   | enc_failed  |
| au          | ffv1        | mp2         | enc_failed  |
| au          | ffv1        | mp3         | enc_failed  |
| au          | ffv1        | roq_dpcm    | enc_failed  |
| au          | ffv1        | sonic       | enc_failed  |
| au          | ffv1        | sonicls     | enc_failed  |
| au          | ffv1        | vorbis      | enc_failed  |
| au          | ffv1        | wmav1       | enc_failed  |
| au          | ffv1        | wmav2       | enc_failed  |
| au          | flv         | aac         | enc_failed  |
| au          | flv         | ac3         | enc_failed  |
| au          | flv         | flac        | enc_failed  |
| au          | flv         | g726        | enc_failed  |
| au          | flv         | libamr_nb   | enc_failed  |
| au          | flv         | libamr_wb   | enc_failed  |
| au          | flv         | mp2         | enc_failed  |
| au          | flv         | mp3         | enc_failed  |
| au          | flv         | roq_dpcm    | enc_failed  |
| au          | flv         | sonic       | enc_failed  |
| au          | flv         | sonicls     | enc_failed  |
| au          | flv         | vorbis      | enc_failed  |
| au          | flv         | wmav1       | enc_failed  |
| au          | flv         | wmav2       | enc_failed  |
| au          | h261        | aac         | enc_failed  |
| au          | h261        | ac3         | enc_failed  |
| au          | h261        | flac        | enc_failed  |
| au          | h261        | g726        | enc_failed  |
| au          | h261        | libamr_nb   | enc_failed  |
| au          | h261        | libamr_wb   | enc_failed  |
| au          | h261        | mp2         | enc_failed  |
| au          | h261        | mp3         | enc_failed  |
| au          | h261        | roq_dpcm    | enc_failed  |
| au          | h261        | sonic       | enc_failed  |
| au          | h261        | sonicls     | enc_failed  |
| au          | h261        | vorbis      | enc_failed  |
| au          | h261        | wmav1       | enc_failed  |
| au          | h261        | wmav2       | enc_failed  |
| au          | h263        | aac         | enc_failed  |
| au          | h263        | ac3         | enc_failed  |
| au          | h263        | flac        | enc_failed  |
| au          | h263        | g726        | enc_failed  |
| au          | h263        | libamr_nb   | enc_failed  |
| au          | h263        | libamr_wb   | enc_failed  |
| au          | h263        | mp2         | enc_failed  |
| au          | h263        | mp3         | enc_failed  |
| au          | h263        | roq_dpcm    | enc_failed  |
| au          | h263        | sonic       | enc_failed  |
| au          | h263        | sonicls     | enc_failed  |
| au          | h263        | vorbis      | enc_failed  |
| au          | h263        | wmav1       | enc_failed  |
| au          | h263        | wmav2       | enc_failed  |
| au          | h263p       | aac         | enc_failed  |
| au          | h263p       | ac3         | enc_failed  |
| au          | h263p       | flac        | enc_failed  |
| au          | h263p       | g726        | enc_failed  |
| au          | h263p       | libamr_nb   | enc_failed  |
| au          | h263p       | libamr_wb   | enc_failed  |
| au          | h263p       | mp2         | enc_failed  |
| au          | h263p       | mp3         | enc_failed  |
| au          | h263p       | roq_dpcm    | enc_failed  |
| au          | h263p       | sonic       | enc_failed  |
| au          | h263p       | sonicls     | enc_failed  |
| au          | h263p       | vorbis      | enc_failed  |
| au          | h263p       | wmav1       | enc_failed  |
| au          | h263p       | wmav2       | enc_failed  |
| au          | h264        | aac         | enc_failed  |
| au          | h264        | ac3         | enc_failed  |
| au          | h264        | flac        | enc_failed  |
| au          | h264        | g726        | enc_failed  |
| au          | h264        | libamr_nb   | enc_failed  |
| au          | h264        | libamr_wb   | enc_failed  |
| au          | h264        | mp2         | enc_failed  |
| au          | h264        | mp3         | enc_failed  |
| au          | h264        | roq_dpcm    | enc_failed  |
| au          | h264        | sonic       | enc_failed  |
| au          | h264        | sonicls     | enc_failed  |
| au          | h264        | vorbis      | enc_failed  |
| au          | h264        | wmav1       | enc_failed  |
| au          | h264        | wmav2       | enc_failed  |
| au          | huffyuv     | aac         | enc_failed  |
| au          | huffyuv     | ac3         | enc_failed  |
| au          | huffyuv     | flac        | enc_failed  |
| au          | huffyuv     | g726        | enc_failed  |
| au          | huffyuv     | libamr_nb   | enc_failed  |
| au          | huffyuv     | libamr_wb   | enc_failed  |
| au          | huffyuv     | mp2         | enc_failed  |
| au          | huffyuv     | mp3         | enc_failed  |
| au          | huffyuv     | roq_dpcm    | enc_failed  |
| au          | huffyuv     | sonic       | enc_failed  |
| au          | huffyuv     | sonicls     | enc_failed  |
| au          | huffyuv     | vorbis      | enc_failed  |
| au          | huffyuv     | wmav1       | enc_failed  |
| au          | huffyuv     | wmav2       | enc_failed  |
| au          | libtheora   | aac         | enc_failed  |
| au          | libtheora   | ac3         | enc_failed  |
| au          | libtheora   | flac        | enc_failed  |
| au          | libtheora   | g726        | enc_failed  |
| au          | libtheora   | libamr_nb   | enc_failed  |
| au          | libtheora   | libamr_wb   | enc_failed  |
| au          | libtheora   | mp2         | enc_failed  |
| au          | libtheora   | mp3         | enc_failed  |
| au          | libtheora   | roq_dpcm    | enc_failed  |
| au          | libtheora   | sonic       | enc_failed  |
